Country Code,Country Name,Income Group,Indicator Code,Indicator Name,Region,Year,Energy Consump.
ABW,Aruba,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,1/1/1990,0.268747069
AFG,Afghanistan,Low income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),South Asia,1/1/1990,15.924531683
AGO,Angola,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1990,72.255251922
ALB,Albania,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1990,25.518087626
AND,Andorra,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1990,14.273550207
ARE,United Arab Emirates,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Middle East & North Africa,1/1/1990,0
ARG,Argentina,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,1/1/1990,8.922907467
ARM,Armenia,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1990,2.118944341
ASM,American Samoa,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,1/1/1990,0
ATG,Antigua and Barbuda,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,1/1/1990,0
AUS,Australia,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,1/1/1990,8.009577159
AUT,Austria,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1990,25.135754146
AZE,Azerbaijan,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1990,0.722062718
BDI,Burundi,Low income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1990,95.200672223
BEL,Belgium,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1990,1.269461495
BEN,Benin,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1990,93.703240856
BFA,Burkina Faso,Low income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1990,93.158060289
BGD,Bangladesh,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),South Asia,1/1/1990,71.664971303
BGR,Bulgaria,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1990,1.916848509
BHR,Bahrain,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Middle East & North Africa,1/1/1990,0
BHS,The Bahamas,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,1/1/1990,0
BIH,Bosnia and Herzegovina,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1990,7.300098695
BLR,Belarus,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1990,0.817357745
BLZ,Belize,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,1/1/1990,38.011632695
BMU,Bermuda,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),North America,1/1/1990,0
BOL,Bolivia,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,1/1/1990,37.359001589
BRA,Brazil,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,1/1/1990,49.864674927
BRB,Barbados,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,1/1/1990,18.942176524
BRN,Brunei Darussalam,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,1/1/1990,0.671759471
BTN,Bhutan,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),South Asia,1/1/1990,95.898852170
BWA,Botswana,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1990,47.584637843
CAF,Central African Republic,Low income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1990,93.494280964
CAN,Canada,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),North America,1/1/1990,22.020753693
CHE,Switzerland,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1990,17.123910040
CHL,Chile,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,1/1/1990,34.026870573
CHN,China,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,1/1/1990,34.083614045
CIV,Cote d'Ivoire,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1990,73.582349235
